# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxCacheSizeInBytes,1761854146280000000,1761854709400000000,195051520
DirectByteBufferAllocator.hits,1761854146280000000,1761854709400000000,5
StorageLockContext.competingThreads.max,1761854146280000000,1761854709400000000,0
DirectByteBufferAllocator.reclaimed,1761854146280000000,1761854709400000000,47
FilePageCache.pageLoads,1761854146280000000,1761854709400000000,193
FilePageCache.uncachedFileAccess,1761854146280000000,1761854709400000000,336
FilePageCache.pageFastCacheHits,1761854146280000000,1761854709400000000,13128
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761854146280000000,1761854709400000000,41959424
DirectByteBufferAllocator.disposed,1761854146280000000,1761854709400000000,146
FilePageCache.totalPageLoadsUs,1761854146280000000,1761854709400000000,90241
FilePageCache.pageLoadsAboveSizeThreshold,1761854146280000000,1761854709400000000,0
DirectByteBufferAllocator.misses,1761854146280000000,1761854709400000000,188
FileChannelInterruptsRetryer.totalRetriedAttempts,1761854146280000000,1761854709400000000,0
StorageLockContext.competingThreads.90P,1761854146280000000,1761854709400000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761854146280000000,1761854709400000000,41959424
FilePageCache.maxRegisteredFiles,1761854146280000000,1761854709400000000,520
FilePageCache.pageHits,1761854146280000000,1761854709400000000,0
StorageLockContext.competingThreads.avg,1761854146280000000,1761854709400000000,0.0
FilePageCache.capacityInBytes,1761854146280000000,1761854709400000000,629145600
FilePageCache.totalPageDisposalsUs,1761854146280000000,1761854709400000000,2251
FilePageCache.disposedBuffers,1761854146280000000,1761854709400000000,193
Indexing.cache.totalCacheAccesses,1761854146280000000,1761854709400000000,0
Indexing.writesQueuedAvg,1761854146280000000,1761854709400000000,0.0
Indexing.cache.totalCacheMisses,1761854146280000000,1761854709400000000,0
Indexing.writesQueuedMax,1761854146280000000,1761854709400000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1761854146280000000,1761854709400000000,0
Indexing.writesQueuedMin,1761854146280000000,1761854709400000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1761854146280000000,1761854709400000000,0
Indexing.totalTimeIndexersSleptMs,1761854146280000000,1761854709400000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1761854146280000000,1761854709400000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1761854146280000000,1761854709400000000,0
Indexing.cache.totalCacheEvicted,1761854146280000000,1761854709400000000,0
writeAction.wait.ms,1761854146280000000,1761854709400000000,0
writeAction.max.wait.ms,1761854146280000000,1761854709400000000,0
writeAction.count,1761854146280000000,1761854709400000000,1
DiskQueryRelay.tasksRequested,1761854146280000000,1761854709400000000,24
DiskQueryRelay.taskWaitingTotalTimeUs,1761854146280000000,1761854709400000000,19111
DiskQueryRelay.tasksExecuted,1761854146280000000,1761854709400000000,24
writeAction.median.wait.ms,1761854146280000000,1761854709400000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1761854146280000000,1761854709400000000,3012
cacheStateStorage.get.counter,1761854146280000000,1761854709400000000,2
cacheStateStorage.set.counter,1761854146280000000,1761854709400000000,0
cacheStateStorage.set.duration,1761854146280000000,1761854709400000000,0
cacheStateStorage.get.duration,1761854146280000000,1761854709400000000,0
VFS.fileByIdCache.hits,1761854146280000000,1761854709400000000,0
VFS.fileChildByName,1761854146280000000,1761854709400000000,8
VFS.invertedFileNameIndex.requests,1761854146280000000,1761854709400000000,0
VFS.fileByIdCache.misses,1761854146280000000,1761854709400000000,0
